,Unnamed: 0,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
15,24,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b17e50e5-da1a-436a-b66b-6240ced9e9a1,0,,1,['367'],0,
16,36,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:5facd3bb-d240-4371-8cce-2f7f0dc245fe,0,,1,['367'],0,
17,65,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""none""","pop == ""class java.lang.Boolean""","clear == ""none""",Yes,1607947981560:b4369506-a524-4b11-845d-b9fe6d1b537e,1607947981560:29dab961-6052-43a0-81fd-753e7716b6fc,0,,1,['367'],0,
18,67,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""",Yes,1607947981560:b4369506-a524-4b11-845d-b9fe6d1b537e,1607947981560:29dab961-6052-43a0-81fd-753e7716b6fc,0,,87,"['0', '1', '8', '53', '60', '61', '62', '68', '69', '70', '71', '72', '73', '74', '75', '76', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '116', '117', '127', '128', '129', '130', '131', '132', '133', '135', '167', '180', '181', '182', '184', '185', '186', '187', '212', '236', '237', '238', '241', '242', '269', '273', '274', '275', '332', '367', '384', '385', '394', '395', '396', '397', '398', '399', '400', '407', '414', '415', '419', '420', '421', '427', '428', '429', '430', '431', '435', '436', '437', '438', '439', '440', '441', '442', '453', '465']",0,
19,69,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607947981560:b4369506-a524-4b11-845d-b9fe6d1b537e,1607947981560:29dab961-6052-43a0-81fd-753e7716b6fc,79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']",6,"['115', '361', '362', '363', '364', '455']",79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']"
20,84,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607947981559:c8007d83-556b-47a8-be61-7f185d650482,1607947981559:c7eaab51-be77-4458-8530-d903c872a7d4,79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']",6,"['115', '361', '362', '363', '364', '455']",79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']"
21,111,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607947981559:ae2621c4-ea0b-412b-9f4f-63892c267294,1607947981560:0dad876c-359f-4eab-99eb-da4f202038e4,0,,3,"['367', '384', '385']",0,
22,127,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""class java.lang.Short""","pop == ""none""","clear == ""none""",Yes,1607947981559:ae2621c4-ea0b-412b-9f4f-63892c267294,1607947981559:244b755a-057b-47a2-8ac6-aa3c545d31d2,0,,3,"['367', '384', '385']",0,
23,128,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607947981559:ae2621c4-ea0b-412b-9f4f-63892c267294,1607947981559:244b755a-057b-47a2-8ac6-aa3c545d31d2,0,,3,"['367', '384', '385']",0,
24,129,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""none""","pop == ""class java.lang.Short""","clear == ""none""",Yes,1607947981559:ae2621c4-ea0b-412b-9f4f-63892c267294,1607947981559:244b755a-057b-47a2-8ac6-aa3c545d31d2,0,,1,['367'],0,
25,174,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607947981559:82b30143-8745-4128-9921-cbf5a26a38f9,1607947981559:08ade129-0c89-4a6f-b814-d5e457b0bd8d,0,,3,"['367', '384', '385']",0,
26,197,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607947981559:65bfc1d2-efb1-4dbc-ad43-fbcfa8dc3e9d,1607947981559:c8588ef6-e7c3-4c0e-bd1a-a8d9384da008,0,,3,"['367', '384', '385']",0,
27,199,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607947981559:65bfc1d2-efb1-4dbc-ad43-fbcfa8dc3e9d,1607947981559:c8588ef6-e7c3-4c0e-bd1a-a8d9384da008,0,,3,"['367', '384', '385']",0,
