,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
5065,1607950820510:75de742e-fa5a-4213-a9cf-6b52d1e63f35,1607950820510:894ea392-d93f-48c8-a092-78eff1b7a93c,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5067,1607950820510:70f9cca1-5dba-48bc-bc27-78ad78a94e8f,1607950820510:a7345bb3-df19-477f-bc66-bb6d8fbb5221,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5068,1607950820510:70f9cca1-5dba-48bc-bc27-78ad78a94e8f,1607950820510:a7345bb3-df19-477f-bc66-bb6d8fbb5221,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5071,1607950820510:5252d820-a5e6-4e04-83ce-a0696cca8b2d,1607950820510:718cb63e-6ccf-40aa-aeb6-3d8d33d5e9ea,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5073,1607950820510:5252d820-a5e6-4e04-83ce-a0696cca8b2d,1607950820510:4a4528da-4631-40ac-b925-5a86eb283603,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5074,1607950820510:5252d820-a5e6-4e04-83ce-a0696cca8b2d,1607950820510:4a4528da-4631-40ac-b925-5a86eb283603,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
5076,1607950820510:3c0788a9-995e-4c71-afdd-b1aaf9a61aa5,1607950820510:f0809926-ed07-424d-a7d2-d9565bc06f71,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,FALSE,clear,No
5077,1607950820510:3c0788a9-995e-4c71-afdd-b1aaf9a61aa5,1607950820510:f0809926-ed07-424d-a7d2-d9565bc06f71,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,TRUE,push,Yes
5078,1607950820510:3c0788a9-995e-4c71-afdd-b1aaf9a61aa5,1607950820510:f0809926-ed07-424d-a7d2-d9565bc06f71,0,True,EmptyObject,FALSE,FALSE,TRUE,1,True,class java.lang.String,TRUE,FALSE,FALSE,clear,No
5079,1607950820510:3c0788a9-995e-4c71-afdd-b1aaf9a61aa5,1607950820510:f0809926-ed07-424d-a7d2-d9565bc06f71,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5080,1607950820510:3c0788a9-995e-4c71-afdd-b1aaf9a61aa5,1607950820510:f0809926-ed07-424d-a7d2-d9565bc06f71,0,True,EmptyObject,FALSE,FALSE,TRUE,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,No
5082,1607950820510:3c0788a9-995e-4c71-afdd-b1aaf9a61aa5,1607950820510:3f6e15ed-9fb3-4e37-93ac-58cc6cfce09c,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5083,1607950820510:3c0788a9-995e-4c71-afdd-b1aaf9a61aa5,1607950820510:3f6e15ed-9fb3-4e37-93ac-58cc6cfce09c,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
