,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
99,1607899197705:5213e5cd-491b-4420-b795-003d754d2ac0,1607899197705:7f71d635-c08c-45de-a015-9966dca184df,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
101,1607899197705:5213e5cd-491b-4420-b795-003d754d2ac0,1607899197705:783d9bcd-263d-4e80-aef9-122498afc69d,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
102,1607899197705:5213e5cd-491b-4420-b795-003d754d2ac0,1607899197705:783d9bcd-263d-4e80-aef9-122498afc69d,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
105,1607899197705:35956de2-bd3b-4ba3-a13f-ec04f5d700b9,1607899197705:1a84f441-10f3-4efb-af42-def9702c6206,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
106,1607899197705:35956de2-bd3b-4ba3-a13f-ec04f5d700b9,1607899197705:1a84f441-10f3-4efb-af42-def9702c6206,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
108,1607899197705:3543b0f2-15be-4fa5-940f-23febfbe76e2,1607899197705:be4186bb-4a8b-4203-9fa1-d89de5ed6a7d,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
109,1607899197705:3543b0f2-15be-4fa5-940f-23febfbe76e2,1607899197705:be4186bb-4a8b-4203-9fa1-d89de5ed6a7d,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
111,1607899197705:3543b0f2-15be-4fa5-940f-23febfbe76e2,1607899197705:6674629c-bae4-4a0c-bec2-c872675dd0e0,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
114,1607899197704:cbbb509e-7807-4186-be85-346c68596c35,1607899197704:79001e0d-b45b-40b2-8086-cbddacac387a,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
115,1607899197704:cbbb509e-7807-4186-be85-346c68596c35,1607899197704:79001e0d-b45b-40b2-8086-cbddacac387a,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
117,1607899197704:cbbb509e-7807-4186-be85-346c68596c35,1607899197704:355b0e2d-4521-4f12-949c-0fbe49b5b2b1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
119,1607899197704:81468ba9-cd50-4c1c-b67a-8b6f4d628f46,1607899197704:f2cf6af7-921c-46e4-9428-2324d8225965,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
