,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
4209,1604913473709:ff88276d-2dfb-4766-9afa-a32c191b40c0,1604913473709:0b4c0420-5abf-4321-9d9c-55e320bbdc03,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4210,1604913473709:ff88276d-2dfb-4766-9afa-a32c191b40c0,1604913473709:0b4c0420-5abf-4321-9d9c-55e320bbdc03,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4212,1604913473709:806811af-8b6d-41b8-a9ca-3ed7834deb85,1604913473709:e56a5412-2424-4109-b132-6da16e652918,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4213,1604913473709:806811af-8b6d-41b8-a9ca-3ed7834deb85,1604913473709:e56a5412-2424-4109-b132-6da16e652918,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4215,1604913473709:806811af-8b6d-41b8-a9ca-3ed7834deb85,1604913473709:7dbce00f-fc49-4826-8c64-11be3ae9f81e,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4216,1604913473709:806811af-8b6d-41b8-a9ca-3ed7834deb85,1604913473709:7dbce00f-fc49-4826-8c64-11be3ae9f81e,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4218,1604913473709:7b340a62-52e2-4045-9a83-72339cd768b3,1604913473709:2587d023-26d2-499e-a309-58ec0ab9c5d4,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4219,1604913473709:7b340a62-52e2-4045-9a83-72339cd768b3,1604913473709:2587d023-26d2-499e-a309-58ec0ab9c5d4,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4221,1604913473709:5934a658-f7e6-4cb8-aa7f-d116daa2f679,1604913473709:cdaf7026-e817-4e3d-99e7-04da1147d31f,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4222,1604913473709:5934a658-f7e6-4cb8-aa7f-d116daa2f679,1604913473709:cdaf7026-e817-4e3d-99e7-04da1147d31f,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4224,1604913473709:303c798b-1d68-49fd-a6a1-e2c4369b356f,1604913473709:22f3f7a5-eb85-4cd9-b9b3-dfca9f0d4859,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4225,1604913473709:303c798b-1d68-49fd-a6a1-e2c4369b356f,1604913473709:22f3f7a5-eb85-4cd9-b9b3-dfca9f0d4859,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
