,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
6248,1604915698160:ee1998a7-1b06-42d9-9317-3492ded24eb6,1604915698160:897c6199-5d1a-4930-ba7d-25b980a89956,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6249,1604915698160:ee1998a7-1b06-42d9-9317-3492ded24eb6,1604915698160:897c6199-5d1a-4930-ba7d-25b980a89956,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6251,1604915698160:e51bc74c-556f-4f4b-b0a9-ec6e514ff254,1604915698160:6acd87a0-202e-411a-b8ea-8d20e36b516a,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6253,1604915698160:e51bc74c-556f-4f4b-b0a9-ec6e514ff254,1604915698160:109325e9-aae1-41ab-a374-364c35488f9e,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6254,1604915698160:e51bc74c-556f-4f4b-b0a9-ec6e514ff254,1604915698160:109325e9-aae1-41ab-a374-364c35488f9e,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6256,1604915698160:daa4eb54-d0b4-4e2a-8107-caa872c4bb77,1604915698160:de6e67eb-4a29-4db9-a9d2-fa0dea0ded2e,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6257,1604915698160:daa4eb54-d0b4-4e2a-8107-caa872c4bb77,1604915698160:de6e67eb-4a29-4db9-a9d2-fa0dea0ded2e,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6259,1604915698160:daa4eb54-d0b4-4e2a-8107-caa872c4bb77,1604915698160:1f2ffc86-7dbd-4edb-874e-1e4a964d7cc8,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6261,1604915698160:d9881a52-6bea-420d-98bc-5f0953a397b8,1604915698160:a6ca04ed-0d54-46c7-b650-8a29ba863d2b,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6262,1604915698160:d9881a52-6bea-420d-98bc-5f0953a397b8,1604915698160:a6ca04ed-0d54-46c7-b650-8a29ba863d2b,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6264,1604915698160:d9881a52-6bea-420d-98bc-5f0953a397b8,1604915698160:40622b58-0a21-4d32-a720-ea34bc2b8570,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6265,1604915698160:d9881a52-6bea-420d-98bc-5f0953a397b8,1604915698160:40622b58-0a21-4d32-a720-ea34bc2b8570,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6267,1604915698160:d9764480-0a64-411e-9e6b-0eb73ff43fad,1604915698160:da4b0055-be70-4fbc-a6d7-fa868588588d,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6268,1604915698160:d9764480-0a64-411e-9e6b-0eb73ff43fad,1604915698160:da4b0055-be70-4fbc-a6d7-fa868588588d,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6270,1604915698160:d547f284-a9a7-42eb-b494-def4891301e7,1604915698160:82a7763a-bf9d-44da-8c20-43df53135aa2,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6271,1604915698160:d547f284-a9a7-42eb-b494-def4891301e7,1604915698160:82a7763a-bf9d-44da-8c20-43df53135aa2,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6273,1604915698160:ccf8b01a-c0f0-4272-bfbe-0c6c3d4c5515,1604915698160:ff8a8004-0b65-40ed-94ff-39e579636aca,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6274,1604915698160:ccf8b01a-c0f0-4272-bfbe-0c6c3d4c5515,1604915698160:ff8a8004-0b65-40ed-94ff-39e579636aca,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6276,1604915698160:ccf8b01a-c0f0-4272-bfbe-0c6c3d4c5515,1604915698160:eedd7d4a-ea0c-4c2c-a288-708c22cc61d2,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6277,1604915698160:ccf8b01a-c0f0-4272-bfbe-0c6c3d4c5515,1604915698160:eedd7d4a-ea0c-4c2c-a288-708c22cc61d2,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6279,1604915698160:cb39ffd2-58ab-4ae0-9aec-a2bb1512cf93,1604915698160:eeb12638-8ca4-4621-a576-98be0feb536b,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6280,1604915698160:cb39ffd2-58ab-4ae0-9aec-a2bb1512cf93,1604915698160:eeb12638-8ca4-4621-a576-98be0feb536b,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6281,1604915698160:cb39ffd2-58ab-4ae0-9aec-a2bb1512cf93,1604915698160:eeb12638-8ca4-4621-a576-98be0feb536b,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
6283,1604915698160:c89764c4-fd7f-4300-bffe-af758ef77b08,1604915698160:0e183ac7-1aaf-4f2d-9c31-5a89ae1269e9,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
