testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff
1607897077995:9b5ac606-0ffb-413e-9aa8-73852eb0d04b,1607897077995:ad5109fd-184d-4e22-8486-321227fec0f1,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077995:9b5ac606-0ffb-413e-9aa8-73852eb0d04b,1607897077995:ad5109fd-184d-4e22-8486-321227fec0f1,0,True,EmptyObject,EmptyObject,clear,none,No
1607897077995:9b5ac606-0ffb-413e-9aa8-73852eb0d04b,1607897077995:ad5109fd-184d-4e22-8486-321227fec0f1,1,False,class java.lang.Object,class java.lang.Class,push,class java.lang.Class,No
1607897077995:9b5ac606-0ffb-413e-9aa8-73852eb0d04b,1607897077995:ad5109fd-184d-4e22-8486-321227fec0f1,0,True,EmptyObject,EmptyObject,clear,none,No
1607897077995:9b5ac606-0ffb-413e-9aa8-73852eb0d04b,1607897077995:ad5109fd-184d-4e22-8486-321227fec0f1,0,True,EmptyObject,EmptyObject,clear,none,No
1607897077995:9b5ac606-0ffb-413e-9aa8-73852eb0d04b,1607897077995:ad5109fd-184d-4e22-8486-321227fec0f1,0,True,EmptyObject,EmptyObject,clear,none,No
1607897077995:9b5ac606-0ffb-413e-9aa8-73852eb0d04b,1607897077995:69566ac1-8c8b-495a-a383-70984be95a76,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077995:9b5ac606-0ffb-413e-9aa8-73852eb0d04b,1607897077995:69566ac1-8c8b-495a-a383-70984be95a76,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No
1607897077995:9b5ac606-0ffb-413e-9aa8-73852eb0d04b,1607897077995:69566ac1-8c8b-495a-a383-70984be95a76,1,False,1.0,class java.lang.Float,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607897077995:ae97a165-2a4b-4ed6-850f-7c7a4b77b255,1607897077995:a5b5bb81-96f4-4915-8cad-eb63254ad936,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077995:ae97a165-2a4b-4ed6-850f-7c7a4b77b255,1607897077995:a5b5bb81-96f4-4915-8cad-eb63254ad936,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No
1607897077995:ae97a165-2a4b-4ed6-850f-7c7a4b77b255,1607897077995:a5b5bb81-96f4-4915-8cad-eb63254ad936,1,False,1.0,class java.lang.Float,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
