,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
4069,1607884514055:8cc2a101-c562-4c66-8c78-4d066708e5c8,1607884514055:6f700ba6-fadb-4d0a-8ff8-389a939a08c6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4072,1607884514055:898c15cd-1a9c-4117-b540-23dc4199bfe3,1607884514055:05dc3f8f-52b7-4186-a39e-9ef6124bef40,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4075,1607884514055:78e0375f-d89d-4c66-956a-c4bbeb8dfeac,1607884514055:7dc6a5e7-e29c-4030-9fa3-7a2f71967586,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4078,1607884514055:19737ea8-6f19-4179-8472-09687ba60b5c,1607884514055:7e9a5a14-a06b-4d87-9337-79158d1104ae,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4081,1607884514054:fedbaa76-ba5f-4ef6-9feb-8e3d53d374cf,1607884514054:aed096d0-8fca-4d1a-91ca-9100c130a828,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4084,1607884514054:fedbaa76-ba5f-4ef6-9feb-8e3d53d374cf,1607884514054:56711344-0298-4a5c-b2ac-1ada510aeef8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4085,1607884514054:fedbaa76-ba5f-4ef6-9feb-8e3d53d374cf,1607884514054:56711344-0298-4a5c-b2ac-1ada510aeef8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
4087,1607884514054:fb175627-cf64-4de7-a990-7d0940acaff3,1607884514054:a669f6f0-b884-479d-9445-332c191e8cf6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4091,1607884514054:f6c72a02-8007-4b41-98c0-2b11e237a1f8,1607884514054:f8523e5a-bb0e-40c1-bd6b-48c49791edde,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes
4096,1607884514054:f6c72a02-8007-4b41-98c0-2b11e237a1f8,1607884514054:3444f5df-9261-489d-a439-1736722ce326,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
4100,1607884514054:c3b6e941-0856-447a-950c-237b5612ddc4,1607884514054:a26e1942-31ce-4283-a3ed-0d772aaf3d36,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes
