,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId
442,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607894055370:1a0c06de-b17a-4bed-90ff-a006a2b8cca6,1607894055370:1d875b2f-a0e0-4684-b088-5d3da7c13c1f
444,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894055370:1a0c06de-b17a-4bed-90ff-a006a2b8cca6,1607894055370:1d875b2f-a0e0-4684-b088-5d3da7c13c1f
489,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607894055369:b529b4d0-84de-40df-a4ae-0c0a7ba8a0ab,1607894055369:2bb03bdc-4bc6-4260-aaad-730f28484978
504,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055369:b529b4d0-84de-40df-a4ae-0c0a7ba8a0ab,1607894055369:141f00a6-3e29-4939-a865-00ef12855826
513,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""",Yes,1607894055369:962aae33-7e71-4590-b191-3c420010f19a,1607894055369:e79275f4-9b0e-45cd-ae49-a7135224ae39
514,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607894055369:962aae33-7e71-4590-b191-3c420010f19a,1607894055369:e79275f4-9b0e-45cd-ae49-a7135224ae39
540,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894055369:962aae33-7e71-4590-b191-3c420010f19a,1607894055369:bebb0c1c-56d8-4fe0-9dd2-09af58825375
557,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""class java.lang.Double""","pop == ""none""","clear == ""none""",Yes,1607894055369:962aae33-7e71-4590-b191-3c420010f19a,1607894055369:9aabe814-3237-48f0-87f5-0a4323a32c93
564,"size == ""10""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055369:962aae33-7e71-4590-b191-3c420010f19a,1607894055369:9aabe814-3237-48f0-87f5-0a4323a32c93
572,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""class java.lang.Byte""","pop == ""none""","clear == ""none""",Yes,1607894055369:962aae33-7e71-4590-b191-3c420010f19a,1607894055369:9861b2cc-8597-4985-b426-4d935b9f5480
573,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""none""","pop == ""class java.lang.Byte""","clear == ""none""",Yes,1607894055369:962aae33-7e71-4590-b191-3c420010f19a,1607894055369:9861b2cc-8597-4985-b426-4d935b9f5480
663,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055368:4b2458e5-1a06-4e19-b13e-e793a2c86ccc,1607894055368:00a7ea03-2a51-4c3b-ab5f-a1440fb93e2c
717,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894055367:3c34832d-d47e-422f-acd9-3452b7d2f79c,1607894055367:2c79bab3-4a97-4353-bbee-058cadcef386
793,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607894055366:6124d53c-3b2b-407b-8b21-300bd22ecc82,1607894055366:288dce80-8072-4ada-91f4-ea86de82bc67
864,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055365:e9f876b6-d079-4986-b0b0-2f56af4255c3,1607894055365:657cd35f-0b03-44e8-9d43-eec552cd8bb2
887,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607894055365:04fb0001-5fe6-40ae-a384-f6878bd5987f,1607894055365:d93405dc-b9cf-4ffd-96f8-ea9ea511ab92
925,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055365:04fb0001-5fe6-40ae-a384-f6878bd5987f,1607894055365:3af02bf5-a0c8-44f0-8270-935f3461d614
926,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055365:04fb0001-5fe6-40ae-a384-f6878bd5987f,1607894055365:3af02bf5-a0c8-44f0-8270-935f3461d614
1219,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""none""","pop == ""class java.lang.Double""","clear == ""none""",Yes,1607894055362:f4d0f388-06fa-4b5f-a5ce-2e4024196129,1607894055362:5145d9cb-6cb2-45ba-b9c4-35154a6c85dc
1274,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894055362:aed9d270-48bb-49d0-b222-4279902feee4,1607894055362:2decbc11-7261-42d5-b99b-3d53ade488b8
1339,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""class java.lang.Short""","pop == ""none""","clear == ""none""",Yes,1607894055361:afd88077-149c-4de1-86ad-716ad4fe0c38,1607894055361:7b066314-c296-4863-8e21-88358a5703fd
1341,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""",Yes,1607894055361:afd88077-149c-4de1-86ad-716ad4fe0c38,1607894055361:7b066314-c296-4863-8e21-88358a5703fd
1373,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""",Yes,1607894055361:0c3fb8fd-1e08-45c6-bac5-078720e50ae2,1607894055361:a115468c-bbe3-40b6-94e3-b67244c0c769
1503,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""none""","pop == ""class java.lang.Short""","clear == ""none""",Yes,1607894055360:02f10e63-e592-4a37-ba31-dc9afccdcb93,1607894055360:f3e248b6-a565-4d15-99f0-49fde0eb6aeb
1558,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055359:7bbb9db3-6362-496c-804b-b422cd1659c4,1607894055359:0a164d8f-c157-4016-b932-4650286da792
1656,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607894055358:affdae71-ede2-43b5-b97c-f17e692304aa,1607894055358:b7a2f299-3382-42da-893d-44459cb503f1
1657,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""none""","pop == ""class java.lang.Integer""","clear == ""none""",Yes,1607894055358:affdae71-ede2-43b5-b97c-f17e692304aa,1607894055358:b7a2f299-3382-42da-893d-44459cb503f1
1691,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894055358:8ac89c01-e80d-442c-a4bf-151f61280503,1607894055358:3d2bd18b-ed1b-4367-b02d-249d80ad4c06
2037,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""",Yes,1607894055355:48f95f37-ae9f-4699-a1cb-3c98eaf54cef,1607894055355:10284100-f289-4cd0-9801-cfb6a066e8ac
2139,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055353:fa681956-a7d4-4dd4-9fe8-6704712fe6c8,1607894055353:d38201e1-3d3b-4e25-8c21-8dd9891e376f
2432,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055352:09a94ab6-28b4-4c7b-b27a-7a7b6f2a6aca,1607894055352:6af9e267-2cfc-49b2-abb8-e536bff0c23b
2777,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055349:15bfd001-7615-4166-a360-1cb8aeae432a,1607894055349:979eea33-1aee-4b31-8bce-2374f1506b50
2792,"size == ""11""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607894055349:15bfd001-7615-4166-a360-1cb8aeae432a,1607894055349:5384578f-1755-4a5c-9be2-093774b03115
2823,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607894055348:2235b87c-c81a-4fe7-8fb1-991a68b33a71,1607894055348:91826491-9d7a-4195-b1eb-4cd2df489376
3093,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055346:5df0e28b-5cce-4485-99f0-d3c3dc9a3798,1607894055346:030a4956-17f5-4ca9-845d-0e51d6dac0ad
3149,"size == ""12""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607894055345:4f5453bc-617f-48c5-946a-5645d96bd4ee,1607894055345:1891867f-94a3-4652-87d1-a4ec5c3bbf9d
3240,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""class java.lang.Double""","pop == ""none""","clear == ""none""",Yes,1607894055344:8c62f6e1-4179-4836-9961-5769c3071504,1607894055344:95028c16-6f9c-4bdd-810a-72a728de6e24
3242,"size == ""10""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607894055344:8c62f6e1-4179-4836-9961-5769c3071504,1607894055344:95028c16-6f9c-4bdd-810a-72a728de6e24
3376,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""none""","pop == ""class java.lang.Short""","clear == ""none""",Yes,1607894055342:dae53b83-24a4-418c-88f2-a36ccac2865c,1607894055342:3aa6f9b0-b55d-44d3-82f2-17a349781e9a
3924,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055338:92ede68b-4753-4b76-83e2-cc8d86edaf78,1607894055338:489b3d89-fbf0-480d-b888-3e52e3158cdf
4062,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""none""","pop == ""class java.lang.Integer""","clear == ""none""",Yes,1607894055337:1be0f8d0-9448-468d-be47-77b5b9288483,1607894055337:1d879044-6d17-4bfb-b3c1-16a603327e16
4464,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607894055333:d594c12d-c407-49f6-b1a1-3a69819f85b1,1607894055333:46233034-3081-45be-84f4-c9892917cacd
6013,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""",Yes,1607894055317:d6761d89-89ca-4e26-bd68-c12c8cf3daae,1607894055317:4a005fa3-6f97-43cc-8bba-9dd5e425ba20
6316,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055312:d7269c09-8a76-43fc-a0f8-9b45850fdd9e,1607894055312:64c8dd88-50fb-4de6-888c-eb797658d5fc
6446,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607894055310:7af30f27-b324-457b-803a-6eb65cda7804,1607894055311:4305ca7b-5ca3-4bf7-b885-0a8e3bf6548d
6719,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607894055307:02e97d7c-12cb-4e57-9f43-e9fffcb37002,1607894055307:5154188f-ca4d-43a7-bbf7-62fe9ad733d6
7000,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""",Yes,1607894055303:a93cfca2-36cc-426b-ad15-e0a8d950f2b5,1607894055303:559fff54-14f6-4435-ad63-770bac8eb82a
7222,"size == ""10""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607894055301:da9b2896-757b-4aa0-9310-cd47497db1c7,1607894055301:662ffbbe-e056-48ba-9547-967655be2ea1
7264,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""none""","pop == ""class java.lang.Integer""","clear == ""none""",Yes,1607894055301:285c9442-3622-4c30-b1c1-d7939a38265e,1607894055301:8e293b7c-87a5-4e71-9332-4493355f35ff
7980,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""class java.lang.Byte""","pop == ""none""","clear == ""none""",Yes,1607894055293:a895823d-8b5c-4117-bba7-09e002dd6190,1607894055293:da53c1ef-ba19-4069-9d79-6452571ea591
