,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
9394,1607900476593:27464ab0-78d6-4082-b191-9f7948e8b3c0,1607900476593:576e0ec8-46e4-470e-adfe-2e200745cf89,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9396,1607900476592:da383048-8a84-417f-a69e-d697f9874931,1607900476592:120b7fe2-afd5-42af-8f11-fc28cbd4cf7d,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9397,1607900476592:da383048-8a84-417f-a69e-d697f9874931,1607900476592:120b7fe2-afd5-42af-8f11-fc28cbd4cf7d,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9399,1607900476592:c2c1dd5e-be33-4aea-a70f-b7b0bb817c3d,1607900476592:a4d4ea5a-ecce-4340-820c-92952d8c1920,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9400,1607900476592:c2c1dd5e-be33-4aea-a70f-b7b0bb817c3d,1607900476592:a4d4ea5a-ecce-4340-820c-92952d8c1920,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9402,1607900476592:c2c1dd5e-be33-4aea-a70f-b7b0bb817c3d,1607900476592:248036f8-3041-4cf3-a16f-5eb1cf8bba06,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9404,1607900476592:58d6f91e-a0c5-4bab-95ee-e257a8af0022,1607900476592:19cd18f8-8b6f-4cb0-9db9-bb70f3a3e8e9,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9405,1607900476592:58d6f91e-a0c5-4bab-95ee-e257a8af0022,1607900476592:19cd18f8-8b6f-4cb0-9db9-bb70f3a3e8e9,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9407,1607900476591:bc2bb551-9fd4-4d5c-816c-7ac005cbdc07,1607900476591:3c3cac5b-6e31-4db1-9cdd-f0dc9ca733af,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9408,1607900476591:bc2bb551-9fd4-4d5c-816c-7ac005cbdc07,1607900476591:3c3cac5b-6e31-4db1-9cdd-f0dc9ca733af,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9410,1607900476591:6b064102-243d-4b44-8851-6ed61b27d222,1607900476591:2c27dbe5-d8bd-41bf-9c99-27e763bb9646,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9411,1607900476591:6b064102-243d-4b44-8851-6ed61b27d222,1607900476591:2c27dbe5-d8bd-41bf-9c99-27e763bb9646,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9413,1607900476591:16d061c5-0579-4f8d-aa23-70f072bd5ee2,1607900476591:7df5fdbd-4da2-4383-b2de-7e7322b062b4,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9414,1607900476591:16d061c5-0579-4f8d-aa23-70f072bd5ee2,1607900476591:7df5fdbd-4da2-4383-b2de-7e7322b062b4,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9416,1607900476591:07d01c7f-ca3a-4d1d-870b-a12127abb992,1607900476591:36156785-b37e-43a9-adc0-a2dd82ffd46f,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9417,1607900476591:07d01c7f-ca3a-4d1d-870b-a12127abb992,1607900476591:36156785-b37e-43a9-adc0-a2dd82ffd46f,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
9419,1607900476590:cf950a5a-ee6d-4c51-a0ab-3000a6125e3c,1607900476590:e1cc68f8-a275-4a48-89c4-2a838279f295,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9421,1607900476590:cf950a5a-ee6d-4c51-a0ab-3000a6125e3c,1607900476590:9cb2c727-d728-4585-9919-369e14740fe1,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
9422,1607900476590:cf950a5a-ee6d-4c51-a0ab-3000a6125e3c,1607900476590:9cb2c727-d728-4585-9919-369e14740fe1,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
