,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
2286,1607884796897:f48fb2c0-e89e-48f1-9679-4fdfcd7f4158,1607884796897:e2bfadf9-6a3d-4714-8e69-c81b6ccad5ba,0,True,EmptyObject,none,none,clear,0,No
2287,1607884796897:f48fb2c0-e89e-48f1-9679-4fdfcd7f4158,1607884796897:e2bfadf9-6a3d-4714-8e69-c81b6ccad5ba,0,True,EmptyObject,none,none,clear,0,No
2289,1607884796897:f48fb2c0-e89e-48f1-9679-4fdfcd7f4158,1607884796897:2ee5eb67-f013-44d9-b0ca-49679b59125c,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2290,1607884796897:f48fb2c0-e89e-48f1-9679-4fdfcd7f4158,1607884796897:2ee5eb67-f013-44d9-b0ca-49679b59125c,0,True,EmptyObject,none,EmptyObject,none,0,No
2292,1607884796897:d0344d93-ae1e-40a5-b63a-2ab821fd33cf,1607884796897:ca71681a-89bd-4ba2-bd4d-9b621ba29583,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2293,1607884796897:d0344d93-ae1e-40a5-b63a-2ab821fd33cf,1607884796897:ca71681a-89bd-4ba2-bd4d-9b621ba29583,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2294,1607884796897:d0344d93-ae1e-40a5-b63a-2ab821fd33cf,1607884796897:ca71681a-89bd-4ba2-bd4d-9b621ba29583,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2296,1607884796897:d0344d93-ae1e-40a5-b63a-2ab821fd33cf,1607884796897:0305ef3d-43ef-4840-a69c-018d06d3db8e,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2297,1607884796897:d0344d93-ae1e-40a5-b63a-2ab821fd33cf,1607884796897:0305ef3d-43ef-4840-a69c-018d06d3db8e,0,True,EmptyObject,none,EmptyObject,none,0,No
2299,1607884796897:b3e3dbf2-3520-45c5-a0d2-3ef8701dd4f4,1607884796897:4cf0156e-5745-4a13-8241-61471075ebee,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2300,1607884796897:b3e3dbf2-3520-45c5-a0d2-3ef8701dd4f4,1607884796897:4cf0156e-5745-4a13-8241-61471075ebee,0,True,EmptyObject,none,EmptyObject,none,0,No
2302,1607884796897:75d43f92-ca44-444a-b557-98e9f98565ce,1607884796897:c427470c-c80a-48f8-a1da-ba509e796741,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2303,1607884796897:75d43f92-ca44-444a-b557-98e9f98565ce,1607884796897:c427470c-c80a-48f8-a1da-ba509e796741,0,True,EmptyObject,none,EmptyObject,none,0,No
2305,1607884796897:3a4d9678-72eb-4178-b363-a63251dbc522,1607884796897:41497ec9-fd06-4c96-a6e9-315d05dcfade,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2306,1607884796897:3a4d9678-72eb-4178-b363-a63251dbc522,1607884796897:41497ec9-fd06-4c96-a6e9-315d05dcfade,0,True,EmptyObject,none,EmptyObject,none,0,No
