,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
5428,1607884742951:58d02801-6bf5-4700-b1bf-a097133b25f3,1607884742951:7238ab61-2767-4aac-957d-9e2c11724146,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5431,1607884742951:1d693dde-ce27-4cb6-85e9-fd9d6544cb1f,1607884742952:068003b5-1334-430f-865a-1da364cb29f4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5435,1607884742951:1d693dde-ce27-4cb6-85e9-fd9d6544cb1f,1607884742951:35ad51cc-5ccf-4d12-aa07-03fe29b22dfb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5440,1607884742950:a22de3fb-4535-4030-b572-73ac4ba09d7f,1607884742950:e70889fa-dac7-41f1-9c9d-c2d27aecb542,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5443,1607884742950:a22de3fb-4535-4030-b572-73ac4ba09d7f,1607884742950:1f0a57bd-dfe1-4265-9e89-7977d0ec6af6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5445,1607884742950:7aa9c790-c858-42ef-8c10-cd5b788414e0,1607884742950:15a886bd-2bf8-4ade-970b-e99f8b6a48fc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5448,1607884742950:640f73e6-79a4-4cbd-88f6-a04044f8cdb5,1607884742950:67391a23-0100-4afd-bc4d-16622796c0e8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5451,1607884742950:20e89d46-1984-408e-b126-01cd59dcdfc2,1607884742950:7062e21d-b5bf-4727-92ce-eb66a335535d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5454,1607884742949:ed35ac04-d206-4771-8d24-ea16ab85d62e,1607884742949:cb9a0593-8210-442e-ad77-d5bf80f2e62c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5456,1607884742949:ed35ac04-d206-4771-8d24-ea16ab85d62e,1607884742949:717e8336-0a79-4c41-8036-1f664d3eae97,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5460,1607884742949:d92cb801-fe31-4997-8970-931f89f04691,1607884742949:4f783a9b-57fb-468a-99a3-eafb9de9ace2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5461,1607884742949:d92cb801-fe31-4997-8970-931f89f04691,1607884742949:4f783a9b-57fb-468a-99a3-eafb9de9ace2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5463,1607884742949:d92cb801-fe31-4997-8970-931f89f04691,1607884742949:2c6365a7-83d9-40e2-bcbc-f310bcec9d74,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5466,1607884742949:80581ef6-836a-4e13-846d-e9e29877a0d9,1607884742949:e0dcb417-350c-45e8-b2ed-c1abc7f66a97,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5470,1607884742949:80581ef6-836a-4e13-846d-e9e29877a0d9,1607884742949:39652be2-098b-43c2-865f-ab6b7fb737d4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5475,1607884742948:df0147a5-6b99-4641-9b75-dc02ccc09557,1607884742948:9ecf1c97-b391-4ab3-add1-63422fad2deb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5478,1607884742948:df0147a5-6b99-4641-9b75-dc02ccc09557,1607884742948:8911ce5e-c518-42f5-bf6e-e921ba5583cd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5479,1607884742948:df0147a5-6b99-4641-9b75-dc02ccc09557,1607884742948:8911ce5e-c518-42f5-bf6e-e921ba5583cd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5482,1607884742948:4146b0a0-b186-4d3b-ae32-a18b7208ab37,1607884742948:ffe176ae-b0e5-45fd-8c84-498a630138eb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5487,1607884742948:4146b0a0-b186-4d3b-ae32-a18b7208ab37,1607884742948:6d8ba6d1-3d52-41e9-a11f-aef03fd130a4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5490,1607884742947:86739ceb-3e6d-47c3-8fe6-6b4241e03bbc,1607884742947:f5ffe35b-022c-4f99-a26b-72b8ada6066d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5493,1607884742947:39a8d440-dedc-4d70-bde9-3db3d5b97d25,1607884742947:35d5227a-a430-4e65-9aa3-727526503945,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5496,1607884742946:b1eb2336-f7e7-44b6-b7ef-230fc1e33e8b,1607884742946:4a492488-81ce-4aca-abe1-9925fdc56174,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5500,1607884742946:b1eb2336-f7e7-44b6-b7ef-230fc1e33e8b,1607884742946:2ea10b33-eff7-48a9-a6c8-0a0d9eb9e3f7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5505,1607884742946:57e55f6b-e420-402a-8ebb-796a266a8103,1607884742946:d3f01e14-9176-4360-9914-2cbd62b9996e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5508,1607884742946:567e341b-d1e5-4685-a37f-8d2c3bc3a8e1,1607884742946:13344e48-4b87-4044-bfac-fd869711a3b6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5511,1607884742946:2f8040ef-88d3-4281-bbe8-a5835c81c374,1607884742946:d8121d34-5ba3-44da-a194-c569e46b8b91,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5514,1607884742946:2ea86728-a127-432c-ad21-9d02df321169,1607884742946:fbb42a67-7689-43f7-bdd8-d9414f2442d2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5517,1607884742946:2ea86728-a127-432c-ad21-9d02df321169,1607884742946:d934b05f-e94d-4047-80ea-53c62ccdd4a7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
5519,1607884742946:03edaf8d-5848-498c-b468-ab2995531a5b,1607884742946:21295196-b352-4d65-83d2-954fe45f58e1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
