,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
582,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ebcc454e-23f5-485d-a5a7-4e314ba2728f
583,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ebcc454e-23f5-485d-a5a7-4e314ba2728f
584,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ebcc454e-23f5-485d-a5a7-4e314ba2728f
585,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""5""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ebcc454e-23f5-485d-a5a7-4e314ba2728f
611,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ba5cc764-4d71-448a-a051-3f3caecae2df
612,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ba5cc764-4d71-448a-a051-3f3caecae2df
638,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:65801c7a-c7dc-4b4d-952c-b4f2151a47c1
648,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:387d592d-71fb-4fbf-b193-6ca6a8ac2f26
726,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607946326314:e5f6da01-c289-4d37-aeab-212f5a2ee59a,1607946326314:f548eba3-e1d1-4464-a0b0-75c92c2852ba
878,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607946326313:4a5a0914-ed8a-47e9-8a53-c482600fe527,1607946326313:1828c16a-3e86-4eb0-a827-5fce5ee1cf6a
910,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607946326312:c4fcc367-4e4c-47e8-86de-6c60b3bed9e8,1607946326312:4439e2d4-9a5f-4d5a-9eb1-e3217643e8c5
1168,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607946326310:801850f1-9029-41b5-ab26-f7ce5a5d0622,1607946326310:d74eacb8-d087-42b8-bd5a-5dab968f7cf4
1291,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607946326309:ab211ab5-6a7c-43c2-ba94-baef07b78580,1607946326309:45adf1bf-97e4-43b6-a253-2d1e1a453347
