,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
627,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""",Yes,1607893687715:1f83b3cc-3633-4fc1-abd1-272845881e49,1607893687715:53c34cdd-d296-499d-a846-60fa40e69ee9
628,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""104""",Yes,1607893687715:1f83b3cc-3633-4fc1-abd1-272845881e49,1607893687715:53c34cdd-d296-499d-a846-60fa40e69ee9
629,"size == ""106""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""105""",Yes,1607893687715:1f83b3cc-3633-4fc1-abd1-272845881e49,1607893687715:53c34cdd-d296-499d-a846-60fa40e69ee9
645,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""",Yes,1607893687715:1f83b3cc-3633-4fc1-abd1-272845881e49,1607893687715:489e8672-af2e-4eef-a7ad-c3bfdb87caee
646,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""",Yes,1607893687715:1f83b3cc-3633-4fc1-abd1-272845881e49,1607893687715:489e8672-af2e-4eef-a7ad-c3bfdb87caee
656,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""",Yes,1607893687715:1f83b3cc-3633-4fc1-abd1-272845881e49,1607893687715:25a41d22-acbf-4b26-8c0b-6f82ea6ea2b8
725,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687713:87fcee50-53aa-4c1c-a02a-6555fd8aef43,1607893687713:6cc34cd5-981f-4978-a438-a38b05ccbc83
788,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687712:fba12cd6-ae35-4062-a1a4-0f4ce156b57e,1607893687713:3601f26c-0cd3-4fce-b114-74a491866f8f
871,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""",Yes,1607893687712:18049fd1-ecef-41d3-8733-3769ae7cdf6b,1607893687712:47fdbfc9-d949-4b93-b135-fd2088f2661f
884,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""",Yes,1607893687711:abc98f1a-17b2-41ba-8836-827c54ff8d34,1607893687711:f9ad45a0-40b7-4bde-8099-e6e9562f5f5b
