,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
189,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607893902382:25e51f84-a8b3-4d7f-94ec-172a74d336fc,1607893902382:1af689f8-1ff4-430d-8448-3598d22ce922
220,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902382:60045b5c-f97f-4287-8f99-c38f91662bf4
252,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77
253,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77
254,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""5""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77
255,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""5""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77
256,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""6""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77
257,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""6""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77
258,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""7""",Yes,1607893902381:e785c8af-26df-4e8e-a756-77eabe6ead8d,1607893902381:a35e1aa2-9299-4492-87c5-2e2f2f03fb77
299,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607893902381:b12cd42d-92bc-404c-a8d5-d3c6e310bb8f,1607893902381:bdd8f809-49be-4673-b158-2fa84367e295
300,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607893902381:b12cd42d-92bc-404c-a8d5-d3c6e310bb8f,1607893902381:bdd8f809-49be-4673-b158-2fa84367e295
313,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607893902380:ae44c29d-d8ba-4b41-bdd7-835d358bc886,1607893902380:c3bcb2fb-a46e-4d24-916e-50f9f05927ee
334,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""",Yes,1607893902380:ae44c29d-d8ba-4b41-bdd7-835d358bc886,1607893902380:4c205222-fabe-4e50-83ce-021db0a5b165
335,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607893902380:ae44c29d-d8ba-4b41-bdd7-835d358bc886,1607893902380:4c205222-fabe-4e50-83ce-021db0a5b165
345,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607893902380:ae44c29d-d8ba-4b41-bdd7-835d358bc886,1607893902380:41be4d14-6b5a-4a0e-91de-61bb4c8979dd
348,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607893902380:ae44c29d-d8ba-4b41-bdd7-835d358bc886,1607893902380:41be4d14-6b5a-4a0e-91de-61bb4c8979dd
370,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607893902380:ae44c29d-d8ba-4b41-bdd7-835d358bc886,1607893902380:277df4e5-ecd8-4dfd-84fb-3753ed9b0cdb
427,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607893902379:4c65cb27-4c5d-40b4-b608-891d777d3820,1607893902379:dc99178f-a808-40e4-9feb-a2621b243084
460,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""",Yes,1607893902379:4c65cb27-4c5d-40b4-b608-891d777d3820,1607893902379:74e57af8-edbc-4270-891d-310b9dd4f228
