,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
2265,1607884350654:9453b27d-fef0-4ff2-a464-ce998a7a13b3,1607884350654:7b6d4efe-3476-4746-aaeb-6cdb050f18e7,0,True,EmptyObject,none,none,clear,clear,0,No
2266,1607884350654:9453b27d-fef0-4ff2-a464-ce998a7a13b3,1607884350654:7b6d4efe-3476-4746-aaeb-6cdb050f18e7,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2267,1607884350654:9453b27d-fef0-4ff2-a464-ce998a7a13b3,1607884350654:7b6d4efe-3476-4746-aaeb-6cdb050f18e7,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2269,1607884350654:398b3a06-ecf1-402b-956c-87e1fdcbb911,1607884350654:eaba0bb2-369b-41c8-8570-14835d078f02,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2270,1607884350654:398b3a06-ecf1-402b-956c-87e1fdcbb911,1607884350654:eaba0bb2-369b-41c8-8570-14835d078f02,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2272,1607884350653:9bcd9cec-fbed-45a3-a67a-3492e1e18b8b,1607884350653:db7f7880-66fa-4dc2-b906-d4f27842a26b,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2273,1607884350653:9bcd9cec-fbed-45a3-a67a-3492e1e18b8b,1607884350653:db7f7880-66fa-4dc2-b906-d4f27842a26b,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2275,1607884350653:9bcd9cec-fbed-45a3-a67a-3492e1e18b8b,1607884350653:3177fb93-c8fb-4688-b635-27a47e60ae4e,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2277,1607884350653:98d4ea05-6a4c-48af-add1-8f93bd7a356e,1607884350653:65df9463-5a6f-4b77-9b59-ecc11c24190d,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2278,1607884350653:98d4ea05-6a4c-48af-add1-8f93bd7a356e,1607884350653:65df9463-5a6f-4b77-9b59-ecc11c24190d,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
2280,1607884350653:98d4ea05-6a4c-48af-add1-8f93bd7a356e,1607884350653:64371725-8081-43ea-82a1-10d25492f564,0,True,EmptyObject,none,none,clear,clear,0,No
