,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1566,1607937229783:7437a3b1-326f-45e9-b580-34b0ca8d05ca,1607937229783:ec31f877-8d18-4b94-a890-df6a03096351,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1570,1607937229782:eb0f7083-feed-4bca-8674-47f4a38760cf,1607937229782:5e92c5d7-18e3-4eea-9c9c-3a90cc378aba,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1576,1607937229782:af935f65-d16c-48e8-a017-dac747aa13b5,1607937229782:32812bb6-1388-4cbc-a2be-307b247eec24,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1587,1607937229781:61179f8d-e667-40ae-a689-665df519cd5b,1607937229781:575c802c-23e9-422c-9478-83a5698bde11,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1589,1607937229781:4b41b46b-32ce-4b2f-83c1-27a03b79ac25,1607937229781:859adcbc-7646-44f2-9c88-23b3b69d4a52,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1591,1607937229781:3d74bfbc-4964-4ca8-8530-75651f9add3d,1607937229781:f0d8f5d3-756b-4cda-a632-ecb6615b4065,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1594,1607937229780:eaa53613-811c-4dbd-abae-eafc78d09a28,1607937229780:1afc6c49-2bd9-4d29-8276-216b7544e64e,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1596,1607937229780:a45a2592-3bbb-42b2-981f-b55ffd920977,1607937229780:c6333d58-b1e2-45e0-9860-60a40fcf057d,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1599,1607937229780:96214434-95a2-462a-a393-c0d298b62648,1607937229780:a84270ad-637d-4e8e-bd33-125c7aba2f28,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1601,1607937229780:8c56fae9-3ee4-490b-bb4a-797fc9abe9bc,1607937229780:18760a9e-ee68-44b2-809c-ac9c05def857,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1628,1607937229777:e1da6b38-cf8e-49bd-8019-3336b2d47a99,1607937229777:d174e728-be80-4e78-b885-4ed8a520355c,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1636,1607937229777:12cd55f4-85c0-488b-923c-f88395f7d83d,1607937229778:9c8d5841-9ea3-4036-a463-eea7c0a28631,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1642,1607937229776:03a14d45-3238-4092-b8ed-0818992521dc,1607937229776:f68f990c-61ff-40b2-b6c8-3db50893117c,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1646,1607937229775:c453b856-f768-47ef-84d3-920944daf407,1607937229775:4d1bda89-614d-4188-bb70-f33d434affad,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1651,1607937229774:db74fd1c-b646-461f-96e2-396975cee8e4,1607937229774:1f3bbab5-fdf1-433c-b77a-3966317dd576,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1659,1607937229773:98f7c87c-a237-4907-898f-80d90dbd7295,1607937229773:195d0e03-55d7-44aa-95eb-5518148e1185,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1662,1607937229773:53e5f09f-1744-4ba9-93dc-8f932e763810,1607937229773:a48a80a2-7162-4ae6-a0ee-9bed6de9792f,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1667,1607937229773:391a2eed-a7a8-4d41-a123-e8cb7841e603,1607937229773:c458765e-72e3-4ec5-bd75-a51b3678ea81,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1670,1607937229773:2a018f1b-a797-48d6-8096-47fd70d327a9,1607937229773:a128312a-d661-4274-8c7c-9b7d73354663,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
1672,1607937229772:dd7e18a5-9368-42a1-a252-20951187833f,1607937229772:fa1bcfdf-567a-495f-a3be-0bdb0bf6033f,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
