,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
5832,1607938043497:3c264b8e-2ccf-4e33-a4f2-f9e8e50dfe4c,1607938043497:ddd9bb9a-6595-45b5-bd2e-aec628562cd1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
5834,1607938043496:baeb7f9f-7f6e-46d3-8c8d-a4b40582e55b,1607938043496:9d464cf1-e99d-483b-849d-75a5761ef14c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5835,1607938043496:baeb7f9f-7f6e-46d3-8c8d-a4b40582e55b,1607938043496:9d464cf1-e99d-483b-849d-75a5761ef14c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
5837,1607938043496:baeb7f9f-7f6e-46d3-8c8d-a4b40582e55b,1607938043496:4c0a0361-138a-4150-8363-2041d7644f3f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5840,1607938043496:ad92dbe0-3b44-44cf-bd77-ecbc0ed8f169,1607938043496:52e77668-78bd-4a89-9365-b08b83864887,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5841,1607938043496:ad92dbe0-3b44-44cf-bd77-ecbc0ed8f169,1607938043496:52e77668-78bd-4a89-9365-b08b83864887,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
5843,1607938043496:ad92dbe0-3b44-44cf-bd77-ecbc0ed8f169,1607938043496:16cf9994-9d87-45a8-9d8e-a43dea997689,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5846,1607938043496:9fb54cb7-6331-4005-91a4-2616df92b4bf,1607938043496:67a81429-74e8-4f8c-a51c-a9c72ab9848d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5849,1607938043496:8eff668d-6c5f-4f44-81f0-67f5eee07b4c,1607938043496:e675573d-8259-4fe9-816c-a0d1f37ddf41,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5852,1607938043496:683fa831-0da1-4b79-b038-4400be14fb14,1607938043496:619c918f-36cf-421c-9ee3-bcae662ed863,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5855,1607938043496:136edfa5-eadc-4989-84c9-32d89d4aee9f,1607938043496:5894f8dd-bb91-4280-9a6e-9f653f566d8d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5858,1607938043495:e6d2833e-8772-44aa-84ea-632e84ba824e,1607938043495:80814381-af80-49b7-87c3-ad7ebc7bccb2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5861,1607938043495:d1f8b6c8-4351-4b1e-9414-cc48f5ebd945,1607938043495:ff70fb88-e469-4635-bb8a-9a6c4729f4da,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5864,1607938043495:b4493a1f-8d6a-4662-9db2-1c744b7a86f4,1607938043495:b0fbb6b8-cc67-43ab-ac47-ba01652ff0e2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5867,1607938043495:b4493a1f-8d6a-4662-9db2-1c744b7a86f4,1607938043495:414abb27-675e-439c-a65b-69dbde665670,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5868,1607938043495:b4493a1f-8d6a-4662-9db2-1c744b7a86f4,1607938043495:414abb27-675e-439c-a65b-69dbde665670,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
5870,1607938043495:39e162c0-604b-4f20-acce-8b53739ff66e,1607938043495:c059d78a-35ff-4024-92c9-76a489bf1daf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5873,1607938043495:39e162c0-604b-4f20-acce-8b53739ff66e,1607938043495:73387630-793e-49b8-834d-0c7dd26d4b7f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5875,1607938043495:39e162c0-604b-4f20-acce-8b53739ff66e,1607938043495:004da987-0955-44c7-a6ea-ee7b345fe813,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5876,1607938043495:39e162c0-604b-4f20-acce-8b53739ff66e,1607938043495:004da987-0955-44c7-a6ea-ee7b345fe813,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
5878,1607938043495:18970fe2-ca16-43b1-8214-da302e865e01,1607938043495:88f824c9-d5c6-46a4-88dc-d36b7ba9c1d9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5882,1607938043495:01aea114-c23f-4635-99d4-10c55c8c1b22,1607938043495:88005fff-3b3b-47b7-83fc-39929de7c2f7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""",Yes
5885,1607938043494:fdd8ab2c-8e47-4adf-aadc-c3599971ac83,1607938043495:8334229c-af44-4bc7-9e57-70d4db73668d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5888,1607938043494:fdd8ab2c-8e47-4adf-aadc-c3599971ac83,1607938043494:2347e24e-2f87-4c18-aafc-0c905f362194,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
5889,1607938043494:fdd8ab2c-8e47-4adf-aadc-c3599971ac83,1607938043494:2347e24e-2f87-4c18-aafc-0c905f362194,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""",Yes
5891,1607938043494:e11bbc3c-813f-4642-a6cf-be5ce8004f32,1607938043494:a379558b-11c7-4f13-9454-7c0e4412b48e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""",Yes
