,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
55,1607899088089:cc9ac91e-698a-45de-b2eb-eb81887b43f3,1607899088089:ec255c55-0f93-4069-b5e0-f27602dae0b0,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
58,1607899088089:cc9ac91e-698a-45de-b2eb-eb81887b43f3,1607899088089:147980cd-4dff-4429-a8c6-140403143a0b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
59,1607899088089:cc9ac91e-698a-45de-b2eb-eb81887b43f3,1607899088089:147980cd-4dff-4429-a8c6-140403143a0b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
60,1607899088089:cc9ac91e-698a-45de-b2eb-eb81887b43f3,1607899088089:147980cd-4dff-4429-a8c6-140403143a0b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
61,1607899088089:cc9ac91e-698a-45de-b2eb-eb81887b43f3,1607899088089:147980cd-4dff-4429-a8c6-140403143a0b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
64,1607899088089:baf2dfe8-30e5-4b4c-8f85-d1f580227755,1607899088089:2602f6dd-98fb-4c56-93d0-44f7044f45f3,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
65,1607899088089:baf2dfe8-30e5-4b4c-8f85-d1f580227755,1607899088089:2602f6dd-98fb-4c56-93d0-44f7044f45f3,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
67,1607899088089:abd02439-5522-4907-93c6-1f32daf00cfc,1607899088089:ff10c0ce-e35d-4c17-95e7-6429c5d16660,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
68,1607899088089:abd02439-5522-4907-93c6-1f32daf00cfc,1607899088089:ff10c0ce-e35d-4c17-95e7-6429c5d16660,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
70,1607899088089:aa2ef167-9835-452f-a2e0-ab5f17853bcc,1607899088089:f5a3021e-ea7e-4e03-a65d-f88fa4f6cd5a,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
71,1607899088089:aa2ef167-9835-452f-a2e0-ab5f17853bcc,1607899088089:f5a3021e-ea7e-4e03-a65d-f88fa4f6cd5a,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
73,1607899088089:7cadda61-f02a-4c0d-83d3-06156fac83ee,1607899088089:cbbdbdc7-ab25-4a78-86d7-7b68a8351e45,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
74,1607899088089:7cadda61-f02a-4c0d-83d3-06156fac83ee,1607899088089:cbbdbdc7-ab25-4a78-86d7-7b68a8351e45,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
77,1607899088089:7cadda61-f02a-4c0d-83d3-06156fac83ee,1607899088089:66c6efa1-51df-4395-a6ff-7185dc376d4b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
78,1607899088089:7cadda61-f02a-4c0d-83d3-06156fac83ee,1607899088089:66c6efa1-51df-4395-a6ff-7185dc376d4b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
79,1607899088089:7cadda61-f02a-4c0d-83d3-06156fac83ee,1607899088089:66c6efa1-51df-4395-a6ff-7185dc376d4b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
80,1607899088089:7cadda61-f02a-4c0d-83d3-06156fac83ee,1607899088089:66c6efa1-51df-4395-a6ff-7185dc376d4b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
82,1607899088088:dde9eb7c-ab6f-4441-abf5-0ac920c4a41b,1607899088088:f0b714f4-09d0-435a-a3a7-e18d72067734,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
83,1607899088088:dde9eb7c-ab6f-4441-abf5-0ac920c4a41b,1607899088088:f0b714f4-09d0-435a-a3a7-e18d72067734,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
85,1607899088088:dde9eb7c-ab6f-4441-abf5-0ac920c4a41b,1607899088088:16166cc4-c8c0-41f8-824b-fa6b9fd8c2dd,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
87,1607899088088:c4690010-8915-4eba-bacd-a217fb676458,1607899088088:d5e0f167-8c7a-4352-8f76-2e076ecc61fb,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
88,1607899088088:c4690010-8915-4eba-bacd-a217fb676458,1607899088088:d5e0f167-8c7a-4352-8f76-2e076ecc61fb,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
91,1607899088088:c4690010-8915-4eba-bacd-a217fb676458,1607899088088:0ce7fbf2-8b93-46f6-8340-e77a1b9e7e5f,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
93,1607899088088:9ace4745-6dca-4691-9c6a-d38087316233,1607899088088:4bf0f45f-604d-4c15-9c63-3a310edc9a15,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
95,1607899088088:9ace4745-6dca-4691-9c6a-d38087316233,1607899088088:05830ac8-4684-45cc-ad77-2bfc5ba3983f,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
96,1607899088088:9ace4745-6dca-4691-9c6a-d38087316233,1607899088088:05830ac8-4684-45cc-ad77-2bfc5ba3983f,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
98,1607899088088:554384de-65ec-4a24-8316-2cc5a827e338,1607899088088:085832f2-2e06-4987-b30c-bdb755d45da4,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
99,1607899088088:554384de-65ec-4a24-8316-2cc5a827e338,1607899088088:085832f2-2e06-4987-b30c-bdb755d45da4,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
101,1607899088088:45ebdf11-7a2d-46b0-ae9c-754f58333e62,1607899088088:c5d2fccb-8149-4472-87c8-651f74d63369,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
