,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
8588,1607900029216:a5513c5d-acad-48ff-8e06-38a3b897c5fc,1607900029216:93ea5c4b-048c-41ed-b423-1a4cd60d8d14,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
8590,1607900029216:87dc028b-8075-4b20-8cd7-7d71b745191f,1607900029216:49d1ad0c-95a0-4527-a2ea-6cdf7eaa5f53,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8591,1607900029216:87dc028b-8075-4b20-8cd7-7d71b745191f,1607900029216:49d1ad0c-95a0-4527-a2ea-6cdf7eaa5f53,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
8593,1607900029216:87dc028b-8075-4b20-8cd7-7d71b745191f,1607900029216:43037100-3a81-4e87-a805-305e71c7f6d1,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8594,1607900029216:87dc028b-8075-4b20-8cd7-7d71b745191f,1607900029216:43037100-3a81-4e87-a805-305e71c7f6d1,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8596,1607900029216:2d5a0ba6-476d-4087-86b1-60f16d9fc664,1607900029216:b9828d0c-5d7a-41e4-8c5a-4b188d2d4a78,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8598,1607900029216:2d5a0ba6-476d-4087-86b1-60f16d9fc664,1607900029216:7cc64b06-b103-4342-a258-c83ba54723d2,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8599,1607900029216:2d5a0ba6-476d-4087-86b1-60f16d9fc664,1607900029216:7cc64b06-b103-4342-a258-c83ba54723d2,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
8602,1607900029215:de3e2786-6e09-4c19-b724-3336e6095387,1607900029215:f64ecf78-5f2b-44c3-9eb0-eb4d1bf8e3f9,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8603,1607900029215:de3e2786-6e09-4c19-b724-3336e6095387,1607900029215:f64ecf78-5f2b-44c3-9eb0-eb4d1bf8e3f9,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
8605,1607900029215:de3e2786-6e09-4c19-b724-3336e6095387,1607900029215:e919a05a-4861-4ef9-acf6-2f4c84c0d904,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8607,1607900029215:5a2ba8f7-a3f1-469f-a18c-7db3028a1887,1607900029215:8c93cc7f-f573-4833-bdcb-1519237c3a45,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8609,1607900029215:5a2ba8f7-a3f1-469f-a18c-7db3028a1887,1607900029215:8b910d04-3522-4673-b1ca-bb0b29a4a59b,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8610,1607900029215:5a2ba8f7-a3f1-469f-a18c-7db3028a1887,1607900029215:8b910d04-3522-4673-b1ca-bb0b29a4a59b,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
8612,1607900029214:f34d20f9-6c45-4324-8715-7d2998bbf46f,1607900029215:cd8f3696-db62-4256-a580-2615c538bd00,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8613,1607900029214:f34d20f9-6c45-4324-8715-7d2998bbf46f,1607900029215:cd8f3696-db62-4256-a580-2615c538bd00,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
8615,1607900029214:f34d20f9-6c45-4324-8715-7d2998bbf46f,1607900029214:53f9fbe2-9b74-4709-87bc-f6761272d92a,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8616,1607900029214:f34d20f9-6c45-4324-8715-7d2998bbf46f,1607900029214:53f9fbe2-9b74-4709-87bc-f6761272d92a,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8618,1607900029214:d1e47293-f084-4ca4-a95c-320302d079a8,1607900029214:faeb7c73-5dce-4bba-b3c4-9fbe7d04719f,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8619,1607900029214:d1e47293-f084-4ca4-a95c-320302d079a8,1607900029214:faeb7c73-5dce-4bba-b3c4-9fbe7d04719f,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
