,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
15,1607885421402:85675d92-5e9a-4e60-aa45-463a99fc77b1,1607885421402:d38ddde4-1f4e-4bd0-a41e-5d1419b27ff6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
16,1607885421402:85675d92-5e9a-4e60-aa45-463a99fc77b1,1607885421402:d38ddde4-1f4e-4bd0-a41e-5d1419b27ff6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
17,1607885421402:85675d92-5e9a-4e60-aa45-463a99fc77b1,1607885421402:d38ddde4-1f4e-4bd0-a41e-5d1419b27ff6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
19,1607885421402:85675d92-5e9a-4e60-aa45-463a99fc77b1,1607885421402:781d0d1c-bdb2-4df0-b415-b2841a35f947,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
20,1607885421402:85675d92-5e9a-4e60-aa45-463a99fc77b1,1607885421402:781d0d1c-bdb2-4df0-b415-b2841a35f947,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
22,1607885421402:6497f29e-cb71-4d1d-8a23-1ea0c6d99350,1607885421402:1a1d17a0-4ec6-4479-aed9-ac9830322f83,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
23,1607885421402:6497f29e-cb71-4d1d-8a23-1ea0c6d99350,1607885421402:1a1d17a0-4ec6-4479-aed9-ac9830322f83,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
25,1607885421402:6497f29e-cb71-4d1d-8a23-1ea0c6d99350,1607885421402:18eb21b2-9afe-4658-887c-f3d6140c8023,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
26,1607885421402:6497f29e-cb71-4d1d-8a23-1ea0c6d99350,1607885421402:18eb21b2-9afe-4658-887c-f3d6140c8023,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
28,1607885421402:4930b6b8-d630-4763-98bf-134b0e456074,1607885421402:975cfe6a-5b0a-4ca6-8afe-376348513004,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
29,1607885421402:4930b6b8-d630-4763-98bf-134b0e456074,1607885421402:975cfe6a-5b0a-4ca6-8afe-376348513004,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
31,1607885421402:302ea8c1-263f-4cc5-8e4f-9d2665e59d0a,1607885421402:716f66b0-614f-4098-8bf8-26906aafe6ca,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
33,1607885421402:302ea8c1-263f-4cc5-8e4f-9d2665e59d0a,1607885421402:55a0a1c9-9883-4b3e-9aee-865d088508b4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
34,1607885421402:302ea8c1-263f-4cc5-8e4f-9d2665e59d0a,1607885421402:55a0a1c9-9883-4b3e-9aee-865d088508b4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
36,1607885421402:1723b9f7-452f-42d0-80a7-49ced8939c27,1607885421402:6eb99980-0b48-40e5-a73d-5ae3f34a267f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
37,1607885421402:1723b9f7-452f-42d0-80a7-49ced8939c27,1607885421402:6eb99980-0b48-40e5-a73d-5ae3f34a267f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes
38,1607885421402:1723b9f7-452f-42d0-80a7-49ced8939c27,1607885421402:6eb99980-0b48-40e5-a73d-5ae3f34a267f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
39,1607885421402:1723b9f7-452f-42d0-80a7-49ced8939c27,1607885421402:6eb99980-0b48-40e5-a73d-5ae3f34a267f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
40,1607885421402:1723b9f7-452f-42d0-80a7-49ced8939c27,1607885421402:6eb99980-0b48-40e5-a73d-5ae3f34a267f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
42,1607885421402:1723b9f7-452f-42d0-80a7-49ced8939c27,1607885421402:6a6f205e-8eba-479b-86e0-d6d9666dad5b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
43,1607885421402:1723b9f7-452f-42d0-80a7-49ced8939c27,1607885421402:6a6f205e-8eba-479b-86e0-d6d9666dad5b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
45,1607885421402:03b98ad3-2fea-4921-8a47-66d97a0ae10f,1607885421402:9a7d2f02-8a5e-4b3b-bf04-ee2933e0b0ae,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
46,1607885421402:03b98ad3-2fea-4921-8a47-66d97a0ae10f,1607885421402:9a7d2f02-8a5e-4b3b-bf04-ee2933e0b0ae,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
47,1607885421402:03b98ad3-2fea-4921-8a47-66d97a0ae10f,1607885421402:9a7d2f02-8a5e-4b3b-bf04-ee2933e0b0ae,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
49,1607885421402:03b98ad3-2fea-4921-8a47-66d97a0ae10f,1607885421402:4a794ab8-6221-4efc-8ec8-a604c0e668ec,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
50,1607885421402:03b98ad3-2fea-4921-8a47-66d97a0ae10f,1607885421402:4a794ab8-6221-4efc-8ec8-a604c0e668ec,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
52,1607885421401:d03e0aa8-333a-46eb-a911-538fc9f00122,1607885421401:8ce25665-4fc4-49c1-b19d-65f195cd9dd3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
53,1607885421401:d03e0aa8-333a-46eb-a911-538fc9f00122,1607885421401:8ce25665-4fc4-49c1-b19d-65f195cd9dd3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
55,1607885421401:be611b6e-965a-4432-9e11-23a27483976a,1607885421401:384f2914-0678-4d6d-a3c0-587b6ea63f9d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
56,1607885421401:be611b6e-965a-4432-9e11-23a27483976a,1607885421401:384f2914-0678-4d6d-a3c0-587b6ea63f9d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
58,1607885421401:be611b6e-965a-4432-9e11-23a27483976a,1607885421401:13475fe6-22be-40da-9be7-dffcf1343522,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
60,1607885421401:bcb7b145-1259-472e-8ab0-20973ff03669,1607885421401:e29ecdcc-9a1b-4a73-a43d-780241121681,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
62,1607885421401:bcb7b145-1259-472e-8ab0-20973ff03669,1607885421401:850b9c00-7110-4e92-bae2-20b020b74491,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
63,1607885421401:bcb7b145-1259-472e-8ab0-20973ff03669,1607885421401:850b9c00-7110-4e92-bae2-20b020b74491,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
66,1607885421401:a83fc98b-dc43-457c-b8ba-395801e016e6,1607885421401:fb0e0217-0544-413d-85e9-c9aa71bdf419,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
67,1607885421401:a83fc98b-dc43-457c-b8ba-395801e016e6,1607885421401:fb0e0217-0544-413d-85e9-c9aa71bdf419,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes
68,1607885421401:a83fc98b-dc43-457c-b8ba-395801e016e6,1607885421401:fb0e0217-0544-413d-85e9-c9aa71bdf419,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
70,1607885421401:83730145-f44a-4294-afe5-a2ea8f82c239,1607885421401:cd8b93ef-7e54-4eda-ad7e-d9556310ca73,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
71,1607885421401:83730145-f44a-4294-afe5-a2ea8f82c239,1607885421401:cd8b93ef-7e54-4eda-ad7e-d9556310ca73,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes
72,1607885421401:83730145-f44a-4294-afe5-a2ea8f82c239,1607885421401:cd8b93ef-7e54-4eda-ad7e-d9556310ca73,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
73,1607885421401:83730145-f44a-4294-afe5-a2ea8f82c239,1607885421401:cd8b93ef-7e54-4eda-ad7e-d9556310ca73,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
74,1607885421401:83730145-f44a-4294-afe5-a2ea8f82c239,1607885421401:cd8b93ef-7e54-4eda-ad7e-d9556310ca73,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
76,1607885421401:83730145-f44a-4294-afe5-a2ea8f82c239,1607885421401:076338dc-0253-41a0-b88f-bd320fe5158e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
77,1607885421401:83730145-f44a-4294-afe5-a2ea8f82c239,1607885421401:076338dc-0253-41a0-b88f-bd320fe5158e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
79,1607885421401:3cfc3dff-fde6-4e49-96f8-2da525c820e9,1607885421401:cab6754c-b25e-4f3b-afdc-a2c488e1f3bf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
80,1607885421401:3cfc3dff-fde6-4e49-96f8-2da525c820e9,1607885421401:cab6754c-b25e-4f3b-afdc-a2c488e1f3bf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes
81,1607885421401:3cfc3dff-fde6-4e49-96f8-2da525c820e9,1607885421401:cab6754c-b25e-4f3b-afdc-a2c488e1f3bf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",No
82,1607885421401:3cfc3dff-fde6-4e49-96f8-2da525c820e9,1607885421401:cab6754c-b25e-4f3b-afdc-a2c488e1f3bf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
83,1607885421401:3cfc3dff-fde6-4e49-96f8-2da525c820e9,1607885421401:cab6754c-b25e-4f3b-afdc-a2c488e1f3bf,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",No
85,1607885421401:3cfc3dff-fde6-4e49-96f8-2da525c820e9,1607885421401:626bcf25-dd52-4d1f-99a7-7caa65e0034b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
86,1607885421401:3cfc3dff-fde6-4e49-96f8-2da525c820e9,1607885421401:626bcf25-dd52-4d1f-99a7-7caa65e0034b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",No
88,1607885421401:366a41e1-c665-483a-8678-edaf3dbeeecf,1607885421401:d4940e8d-a40f-48cf-b838-e93a994613cc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes
