,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
4604,1604916242479:611689cf-88d8-4d6b-823e-d2ade1efeb5a,1604916242480:ea17ce51-1151-4d15-abee-218a895dd2b0,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4606,1604916242479:611689cf-88d8-4d6b-823e-d2ade1efeb5a,1604916242480:6ea31b66-be47-4253-984d-993af2d2d263,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4607,1604916242479:611689cf-88d8-4d6b-823e-d2ade1efeb5a,1604916242480:6ea31b66-be47-4253-984d-993af2d2d263,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4609,1604916242479:611689cf-88d8-4d6b-823e-d2ade1efeb5a,1604916242479:99479668-0885-4ae6-bcf4-77a34af472d7,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
4610,1604916242479:611689cf-88d8-4d6b-823e-d2ade1efeb5a,1604916242479:99479668-0885-4ae6-bcf4-77a34af472d7,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4611,1604916242479:611689cf-88d8-4d6b-823e-d2ade1efeb5a,1604916242479:99479668-0885-4ae6-bcf4-77a34af472d7,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4612,1604916242479:611689cf-88d8-4d6b-823e-d2ade1efeb5a,1604916242479:99479668-0885-4ae6-bcf4-77a34af472d7,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4614,1604916242479:21cf25a2-d493-4400-bc9f-098c2b2b9edb,1604916242479:dcf52330-2a2d-4a69-9e35-4ffe98ca1ea0,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
4615,1604916242479:21cf25a2-d493-4400-bc9f-098c2b2b9edb,1604916242479:dcf52330-2a2d-4a69-9e35-4ffe98ca1ea0,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
4616,1604916242479:21cf25a2-d493-4400-bc9f-098c2b2b9edb,1604916242479:dcf52330-2a2d-4a69-9e35-4ffe98ca1ea0,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
