,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
2873,1607899410115:451960b0-355e-4666-bd23-461ce67ce56b,1607899410115:0180d7a1-bb39-4061-b8c3-27dfe881c7bf,"size == ""103""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2875,1607899410115:01190872-cf16-47a3-881b-d9129dd650fe,1607899410115:6d730f8f-c88e-46f7-8fc8-e3a50cb07076,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2876,1607899410115:01190872-cf16-47a3-881b-d9129dd650fe,1607899410115:6d730f8f-c88e-46f7-8fc8-e3a50cb07076,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2878,1607899410114:e3f098a4-307a-40e5-84e8-a20d98737802,1607899410114:514721bf-9633-4cc0-85a4-9994c9777267,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2879,1607899410114:e3f098a4-307a-40e5-84e8-a20d98737802,1607899410114:514721bf-9633-4cc0-85a4-9994c9777267,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2881,1607899410114:671d408b-960a-4750-a90c-a157501f601b,1607899410114:6996d373-6613-40b2-a10b-8d71dfa47197,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
2882,1607899410114:671d408b-960a-4750-a90c-a157501f601b,1607899410114:6996d373-6613-40b2-a10b-8d71dfa47197,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
2883,1607899410114:671d408b-960a-4750-a90c-a157501f601b,1607899410114:6996d373-6613-40b2-a10b-8d71dfa47197,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
2885,1607899410114:4a0959ba-a49c-404a-a983-22bfda637e02,1607899410114:01ca3a43-64cb-44a8-a52d-c73fac31b15b,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2886,1607899410114:4a0959ba-a49c-404a-a983-22bfda637e02,1607899410114:01ca3a43-64cb-44a8-a52d-c73fac31b15b,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
