,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
10767,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""","size_p == ""7""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607947981462:273f93c7-5b29-4237-a387-3f565f3569a6,1607947981463:c375576e-2baf-44e0-ab55-691428d63acf
10979,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""7""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","push_p == ""class java.lang.Integer""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981460:46e4cc57-e398-44c6-b8e3-fb48b7837872,1607947981460:a54ff0ec-1319-4254-888e-d6f5a5c00691
10981,"size == ""10""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""9""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",Yes,1607947981460:46e4cc57-e398-44c6-b8e3-fb48b7837872,1607947981460:a54ff0ec-1319-4254-888e-d6f5a5c00691
11031,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""class java.lang.Class""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981459:f63fe946-282a-4a1c-9e23-70c0ce89aec4,1607947981460:9e799592-3c1c-43da-b509-b5eae740baee
11062,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""class java.lang.Boolean""","pop == ""none""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607947981459:f63fe946-282a-4a1c-9e23-70c0ce89aec4,1607947981459:e5c3cfab-9f2e-4881-9035-3f4f6f0720b5
11063,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","push_p == ""class java.lang.Boolean""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981459:f63fe946-282a-4a1c-9e23-70c0ce89aec4,1607947981459:e5c3cfab-9f2e-4881-9035-3f4f6f0720b5
11064,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""class java.lang.String""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981459:f63fe946-282a-4a1c-9e23-70c0ce89aec4,1607947981459:e5c3cfab-9f2e-4881-9035-3f4f6f0720b5
11324,"size == ""7""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""8""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""pop""",Yes,1607947981453:a0ceb6a1-13cf-4b25-a7b2-cf4b258291c4,1607947981453:109804da-f593-4ee6-85cd-f842b9c0c4d4
11471,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607947981452:343afd07-3ca5-402b-80bf-3dd06587d874,1607947981452:093d34ca-c9ae-402a-9566-635caad95bea
11487,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""class java.lang.String""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981451:60c51e2f-95fb-4545-9592-9d94fd178985,1607947981451:fac276e7-b076-44ea-ba74-3fd3d596dae2
11523,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""none""","pop == ""class java.lang.Integer""","clear == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""none""","pop_p == ""class experiment.drivers.AlejaStackTestDriver""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981451:288b5777-7d1c-45df-ba4e-fc7bb0cc8121,1607947981452:ea3bdb21-d99b-4b7b-94b3-82961aca64e6
11607,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""class java.lang.Double""","pop == ""none""","clear == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""class java.lang.String""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981450:747c7f2a-14f5-4478-9857-7c95bc388bce,1607947981450:16590a40-7e79-4695-8927-2e181ab68494
11608,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","push_p == ""class java.lang.Double""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981450:747c7f2a-14f5-4478-9857-7c95bc388bce,1607947981450:16590a40-7e79-4695-8927-2e181ab68494
11661,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","push_p == ""class java.lang.Boolean""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981450:3b6e2c44-8538-4477-a853-fcd8badb5b0b,1607947981450:3350fe45-6b46-469c-a07c-cc5a7bb26910
11662,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607947981450:3b6e2c44-8538-4477-a853-fcd8badb5b0b,1607947981450:3350fe45-6b46-469c-a07c-cc5a7bb26910
11663,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""class java.lang.Class""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981450:3b6e2c44-8538-4477-a853-fcd8badb5b0b,1607947981450:3350fe45-6b46-469c-a07c-cc5a7bb26910
12167,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""8""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","push_p == ""class java.lang.Integer""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981446:85c7fa61-4a85-4f33-8a79-5f864ef89b6d,1607947981446:354af531-220b-4d2d-9e50-74908e8c314c
12241,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""class java.lang.String""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981445:c9ae6a85-0af1-4292-8cde-e3b72f573ef0,1607947981445:62a4a255-8118-47df-8399-2dde1dc27ad3
12373,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""class java.lang.String""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981445:22429ecf-b2b0-4c79-a96a-2e94897b01ec,1607947981445:c92ae258-df64-4d73-93e8-58614161f54b
12686,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""class java.lang.String""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981442:4b71c571-16ad-4210-850b-a5aba7396b15,1607947981443:8df3a577-d76d-45cf-b37b-b01affc9836c
12878,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""none""","pop_p == ""class experiment.drivers.AlejaStackTestDriver""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981440:d56d3605-d834-4b4c-a8f5-fb95ddee564e,1607947981440:35469f12-c8f1-415d-8fce-37f6d4cd6765
13240,"size == ""11""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""10""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607947981438:9fb2f9fb-cf33-4622-bb51-b471ac3bba9e,1607947981438:4d68e9c7-b63b-4392-bf21-7fe4a1dd0198
13322,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""none""","pop_p == ""class experiment.drivers.AlejaStackTestDriver""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981437:390343fd-4551-413e-b085-f7353b155a38,1607947981437:b1b9073c-7033-4580-bab1-5976d1bf62ce
13483,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981436:64edeef6-5f1f-4940-8b13-01efb74fba16,1607947981437:f6fdec22-84ea-4d6d-8c4a-271ed9983159
13687,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""none""","pop_p == ""class experiment.drivers.AlejaStackTestDriver""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981433:13b993b3-8bcf-4ef2-9775-923aa9965195,1607947981434:14dced24-864a-4f2b-998e-73ba7013fbe8
13792,"size == ""8""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""7""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""class experiment.drivers.AlejaStackTestDriver""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981431:39ccf24b-7316-4aa9-99e5-0ce36cec547e,1607947981431:feb90ef9-e474-4c6a-9e4e-0b3ec3f70485
13959,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""none""","pop_p == ""class java.lang.Class""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981429:73eca6b6-a1a7-4bef-9f89-17cf0c0a514f,1607947981429:bea60ff5-f03c-4afe-a703-f53940a489ef
14030,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""","size_p == ""6""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""pop""",Yes,1607947981429:0f5189e7-83f5-449f-8dee-af40509cc687,1607947981430:21454f4b-0f56-4d30-b95a-991e2aa95611
14496,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""class java.lang.String""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981422:c1be6c41-b7b1-4dd2-8cb5-6a5b8c26e54e,1607947981422:97c4b1cf-1e0f-4a56-b963-25d6b50f09ca
14583,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607947981421:3c2f8185-bf98-4e49-984b-f648ee2319a3,1607947981421:08623fc6-888f-41ec-9fca-2eb3dee2bb02
14699,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","push_p == ""none""","pop_p == ""class java.lang.Byte""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981420:6d4fcb60-9a4f-4e11-8478-18f803cafd3f,1607947981420:84379d2b-188d-4a30-b00f-1cfdbe24dee0
14746,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""none""","pop == ""class java.lang.Integer""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""class java.lang.Float""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981419:8ed95798-5e99-4bbd-b1b1-96213b6833d8,1607947981419:5e193e20-58f5-4783-ac6c-b6f5237e34cd
14901,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","push_p == ""class java.lang.Integer""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981417:b77d3069-32c0-430a-b944-627ea98215d5,1607947981417:f0e27e01-afd6-4119-b3b8-22948c34e118
15053,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""class java.lang.Float""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981415:cb3c1ede-4bdb-4bf5-a920-e08e7c815c8c,1607947981415:8e4361b0-1381-4068-9096-710fe23990d9
